"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007"
"0" 40300 39750 39700 40300 40700 41400 42300 43650 44450 44700 45223.5 46712.5 48789 50976 53023.5 53625.5 52877.5 51608 50210.5 48527.5 47161.5 46525.5 44782.5 42288 40399 37972.5 35986 35232 34600 34419.5 35210 35739 36103 36179.5 35839.5 36183.5 36795 37154 38020 39088.5 40088 41170 41717.5 41141 40154 39882 39793 39441 38573.5 37954 37759.5 36599 35201.5 35117 35471 35396.5 35337 35825
"1" 40689 40142.5 39770.5 39732 40337.5 40663 41305.5 42077 43305 43994.5 43975 44907 46782.5 48548.5 50586.5 52751.5 53314 52293.5 50846.5 49296.5 48088 46986 45907 44016 41309.5 39108.5 36833.5 35214 34604 34131 34235.5 35167.5 35718 36020 36001 35695.5 36108.5 36660 36941 37844 38799.5 39757 41003 41712.5 41237 40313 39895.5 39726.25 39430.25 38727 38278 38126.5 36987.5 35518 35062.5 35268 35537.5 35454
"2" 41283 40762 40334.5 39942 39860.5 40387.5 40634 41162.5 41820 42950.5 43549 43995 45296.5 46908.5 48459.5 50493 52546 52787 51678 50226 49062 47997.5 46586.5 45384 43440 40716.5 38449.5 36400.5 35105 34702.5 34273 34354 35228 35614.5 35842 35801.5 35523.5 35966.5 36516 36779.5 37744.5 39111.5 40344 41466 42018 41436.5 40321.5 39852.5 39803.5 39483.5 38774.5 38448 38340.5 36926 35461 35243 35511 35920
"3" 41361 41379 40979.5 40530.5 40101.5 39952 40396.5 40521.5 40930 41489 42540.5 43609 44483 45576 46950.5 48426 50384 52144 52182 51144.5 50082.5 48954 47758 46344.5 45129.5 43121.5 40204 38175.5 36446 35241 34855.5 34467 34552.5 35394.5 35757.5 35972 35946.5 35729.5 36248 36662 37020 38477.5 39812 40801 41859.5 42327.5 41568 40282.25 39879.25 39890.5 39581.5 38917 38590 37095.5 35665 35596.5 35424.5 35776
"4" 41517 41466.5 41615.5 41195.5 40700.5 40197.5 39964 40289 40295 40616 41341.5 42849.5 44105.5 44824.5 45738.5 46986.5 48387 50173.5 51695 51655 50949 49941.5 48696.5 47604 46319.5 44953 42641.5 39889.5 38152 36483 35262 34967 34656.5 34805 35653 35991 36187.5 36202.5 36040.5 36487 37122.5 37865.5 39158 40227.5 41121.5 42125 42464 41476 40181.5 39880.5 39925 39673.5 39070.5 38125 36665.5 35871 35777.5 35706.5
"5" 40727.5 41575 41480 41478.5 40958 40398 39894.5 39711.5 40175 40401 40863.5 41786 43371.5 44451 45017 45802.5 46987 48329 49950 51309.5 51489.5 50852 49764.5 48664 47690.5 46075.5 44200 42047.5 39650 38065.5 36638.5 35672.5 35410.5 35008 35084.5 35952.5 36335.5 36638.5 36738 36596.5 37269.5 38128.5 38677 39696 40708.5 41520 42227 42363 41340.5 39992.5 39590.5 39560.5 39236 38547.5 37994.5 36887.5 36028 36029
"6" 39678 40776 41674 41590 41599.5 41082.5 40504 39967 39761 40181.5 40281.5 41086.5 42349.5 43743.5 44637 45094 45857.5 47030 48274.5 49757 51292 51454 50599 49594 48597 47215 45065 43338.5 41588 39415.5 37932 36640 35723 35411.5 35012.5 35114.5 36032.5 36501 36834 36987 36986 37781 38629.5 39138.5 40100 41000 41608 42183.75 42293.25 41310 40084 39778.5 39800 39457.5 38682 38100 37060 36264.5
"7" 38301 39738 40882 41781 41708.5 41736 41199 40575.5 40010.5 39761 40130 40658.5 41740 42741.5 43950.5 44702 45164.5 45989.5 47099 48235 49782.5 51183.5 51093.5 50274.5 49446 48220.5 46415 44394.5 42949 41317.5 39256.5 37894.5 36642 35722 35389.5 34993.5 35170 36179 36683 37067.5 37171.5 37271.5 38263.5 39083 39467 40357.5 41140 41598 42162.5 42350 41432.5 40288 40017 39969.5 39598 38816 38294 37361
"8" 35686 38368.5 39842.5 40997.5 41910.5 41839.5 41845 41270 40628.5 40018.5 39700.5 40682 41567 42210.5 42955.5 44025 44756 45313 46145.5 47160.5 48316 49743 51075 51050 50254 49233 47737 46037 44236.5 42892.5 41318.5 39351.5 37990.5 36676 35726 35416 35111.5 35372.5 36426.5 36958.5 37237.5 37509.5 37802 38704.5 39454 39754.5 40542.5 41258.75 41650.75 42270 42517.5 41622.5 40587 40249 40168 39806 39007 38579.5
"9" 32407.5 35742.5 38471.5 39953 41123.5 42044 41957.5 41926 41325 40638 40036 40534 41941 42223 42468 43027 44091.5 44906 45488.5 46282 47297 48294 49641.5 51122 51104 50092.5 48849.5 47443 45940 44233.5 42913 41415 39458 38067.5 36743 35763.5 35507 35276.5 35593 36678 37118.5 37526.5 38022.5 38300.5 39092 39730 39924.5 40622.75 41363.25 41830 42467.5 42730.5 41923 40875 40467 40352.5 39991 39267.5
